UF;Nome_do_municipio;Cidade_UF;Cod_municipio;Nome_da_micro;Cod_micro;Nome_da_meso;Regional_Siemens;
MA;Acailandia;Acailandia_MA;2100055;Imperatriz;21009;Oeste Maranhense;NORDESTE;
CE;Acarau;Acarau_CE;2300200;Litoral de Camocim e Acaraú;23001;Noroeste Cearense;NORDESTE;
RN;Acu;Acu_RN;2400208;Vale do Açu;24004;Oeste Potiguar;NORDESTE;
SP;Adamantina;Adamantina_SP;3500105;Adamantina;35035;Presidente Prudente;SP INTERIOR;
PE;Afogados da Ingazeira;Afogados da Ingazeira_PE;2600104;Pajeú;26003;Sertão Pernambucano;NORDESTE;
RS;Agudo;Agudo_RS;4300109;Restinga Seca;43019;Centro Ocidental Rio-grandense;SUL;
MG;Aiuruoca;Aiuruoca_MG;3101201;Andrelândia;31055;Sul/Sudoeste de Minas;SP INTERIOR;
BA;Alagoinhas;Alagoinhas_BA;2900702;Alagoinhas;29017;Nordeste Baiano;NORDESTE;
RS;Alegrete;Alegrete_RS;4300406;Campanha Ocidental;43029;Sudoeste Rio-grandense;SUL;
MG;Alem Paraiba;Alem Paraiba_MG;3101508;Cataguases;31066;Zona da Mata;RIO DE JANEIRO;
MG;Almenara;Almenara_MG;3101706;Almenara;31014;Jequitinhonha;SP INTERIOR;
MT;Alta Floresta;Alta Floresta_MT;5100250;Alta Floresta;51002;Norte Mato-grossense;CENTRO;
MT;Alto Araguaia;Alto Araguaia_MT;5100300;Alto Araguaia;51022;Sudeste Mato-grossense;CENTRO;
RS;Alvorada;Alvorada_RS;4300604;Porto Alegre;43026;Metropolitana de Porto Alegre;SUL;
MS;Amambai;Amambai_MS;5000609;Dourados;50010;Sudoeste de Mato Grosso do Sul;SP INTERIOR;
SP;Americo Brasiliense;Americo Brasiliense_SP;3501707;Araraquara;35024;Araraquara;SP INTERIOR;
SP;Amparo;Amparo_SP;3501905;Amparo;35033;Campinas;SP INTERIOR;
ES;Anchieta;Anchieta_ES;3200409;Guarapari;32010;Central Espírito-santense;RIO DE JANEIRO;
MG;Andradas;Andradas_MG;3102605;Poços de Caldas;31051;Sul/Sudoeste de Minas;SP INTERIOR;
